Time - Plot 0,Amplitude - Plot 0
101,NaN
102,0.00134404
103,0.00134384
104,0.00134386
105,0.00134389
106,0.00134388
107,0.00134397
108,0.00174069
109,0.00298957
110,0.00413722
111,0.00470618
112,0.00506759
113,0.00558398
114,0.00599495
115,0.0063851
116,0.00669948
117,0.00700719
118,0.00731789
119,0.00758063
120,0.00769991
121,0.00769524
122,0.00745282
123,0.00686003
124,0.00629702
125,0.00590559
126,0.00553665
127,0.00518925
128,0.00482817
129,0.00452884
130,0.00423244
131,0.00391987
132,0.00362012
133,0.00346366
134,0.00339398
135,0.00312888
136,0.00303944
137,0.00303705
138,0.00304197
139,0.00308458
140,0.00338653
141,0.00383868
142,0.00431585
143,0.00479502
144,0.00528566
145,0.00571966
146,0.0061804
147,0.00639104
148,0.00654481
149,0.00660552
150,0.00659892
151,0.0064459
152,0.00603291
153,0.00560446
154,0.00506705
155,0.00452966
156,0.00411595
157,0.0038052
158,0.00351576
159,0.00335785
160,0.00324346
161,0.00316733
162,0.00298952
163,0.00289033
164,0.00283963
165,0.0027302
166,0.00247736
167,0.00226333
168,0.00218038
169,0.00217853
170,0.00219045
171,0.00222896
172,0.00239068
173,0.00255138
174,0.00269225
175,0.00302233
176,0.0033824
177,0.00373255
178,0.00416885
179,0.00448946
180,0.00479114
181,0.00518917
182,0.00557426
183,0.00583176
184,0.00609524
185,0.00638393
186,0.0065923
187,0.00667884
188,0.00675489
189,0.00682862
190,0.00686038
191,0.0068497
192,0.00661315
193,0.00590335
194,0.00537186
195,0.00503795
196,0.00471698
197,0.00438461
198,0.00413058
199,0.00388555
200,0.00369591
