Time - Plot 0;Amplitude - Plot 0
889;1.34404
890;1.34384
891;1.34386
892;1.34389
893;1.34388
894;1.34397
895;1.74069
896;2.98957
897;4.13722
898;4.70618
899;5.06759
900;5.58398
901;5.99495
902;6.3851
903;6.69948
904;7.00719
905;7.31789
906;7.58063
907;7.69991
908;7.69524
909;7.45282
910;6.86003
911;6.29702
912;5.90559
913;5.53665
914;5.18925
915;4.82817
916;4.52884
917;4.23244
918;3.91987
919;3.62012
920;3.46366
921;3.39398
922;3.12888
923;3.03944
924;3.03705
925;3.04197
926;3.08458
927;3.38653
928;3.83868
929;4.31585
930;4.79502
931;5.28566
932;5.71966
933;6.1804
934;6.39104
935;6.54481
936;6.60552
937;6.59892
938;6.4459
939;6.03291
940;5.60446
941;5.06705
942;4.52966
943;4.11595
944;3.8052
945;3.51576
946;3.35785
947;3.24346
948;3.16733
949;2.98952
950;2.89033
951;2.83963
952;2.7302
953;2.47736
954;2.26333
955;2.18038
956;2.17853
957;2.19045
958;2.22896
959;2.39068
960;2.55138
961;2.69225
962;3.02233
963;3.3824
964;3.73255
965;4.16885
966;4.48946
967;4.79114
968;5.18917
969;5.57426
970;5.83176
971;6.09524
972;6.38393
973;6.5923
974;6.67884
975;6.75489
976;6.82862
977;6.86038
978;6.8497
979;6.61315
980;5.90335
981;5.37186
982;5.03795
983;4.71698
984;4.38461
985;4.13058
986;3.88555
987;3.69591
