Time - Plot 0;Amplitude - Plot 0
0;298,615
0,5;298,604
1;298,638
1,5;298,576
2;298,644
2,5;299,617
3;300,166
3,5;301,123
4;301,709
4,5;302,481
5;303,372
5,5;304,051
6;303,919
6,5;303,568
7;303,194
7,5;302,881
8;303,669
8,5;303,979
9;304,477
9,5;304,754
10;305,744
10,5;305,891
11;305,83
11,5;305,781
12;306,038
12,5;305,817
13;305,305
13,5;304,718
14;304,201
14,5;303,794
15;303,414
15,5;303,1
16;302,81
16,5;302,546
17;302,311
17,5;302,17
18;304,423
18,5;310,983
19;313,079
19,5;313,524
20;313,538
20,5;313,378
21;313,093
21,5;312,529
22;311,814
22,5;311,296
23;310,91
23,5;310,651
24;310,341
24,5;310,059
25;309,752
25,5;309,505
26;309,279
26,5;309,06
27;308,86
27,5;308,668
28;308,4
28,5;308,121
29;307,925
29,5;307,773
30;307,616
30,5;307,497
31;307,327
31,5;307,177
32;307,009
32,5;306,853
33;306,624
33,5;306,475
34;306,284
34,5;306,106
35;305,952
35,5;305,811
36;305,67
36,5;305,548
37;305,427
37,5;305,305
38;305,153
38,5;305,032
39;304,923
39,5;304,754
40;304,639
40,5;304,513
41;304,429
41,5;304,32
42;304,165
42,5;304,063
43;303,925
43,5;303,818
44;303,681
44,5;303,58
45;303,491
45,5;303,408
46;303,289
46,5;304,356
47;312,392
47,5;317,21
48;318,52
48,5;318,707
49;321,117
49,5;325,834
50;333,011
50,5;336,078
51;336,655
51,5;336,403
52;335,929
52,5;335,291
53;334,475
53,5;333,688
54;332,909
54,5;332,201
55;331,563
55,5;330,914
56;330,329
56,5;329,734
57;329,188
57,5;328,581
58;328,013
58,5;327,454
59;326,951
59,5;326,445
60;325,89
